,song,duration,artist,genre,file
0,Adagio In G Minor,6:44,"Wurttemberg Chamber Orchestra, Gunter Kehr & Douglas Haas",Classical,2-18 Adagio In G Minor.wav
1,"Ah, Silly Soul",3:19,English Consort of Viols & James Bowman,Classical,"2-08 Ah, Silly Soul.wav"
2,"Bagatelle for Piano In A Minor ""Fur Elise"", WoO 59",2:46,Leonard Hokanson,Classical,none
3,"Brandenburg Concerto No. 3 In G Major, BWV 1048: I. Allegro",6:40,"Wurttemberg Chamber Orchestra, Jörg Faerber & Martin Galling",Classical,none
4,Canon In D Major,5:52,Mainz Chamber Orchestra & Gunter Kehr,Classical,2-14 Canon In D Major.wav
5,Carmen Suite No. 1: Les Toreadors,2:23,Bamberg Symphony Orchestra & Marcel Courand,Classical,none
6,Carnival of the Animals: XIII. the Swan,3:08,"Wurttemberg Chamber Orchestra, Jörg Faerber, Marylène Dosse & Anne Petit",Classical,none
7,"Clarinet Concerto In a Major, K. 622: II. Adagio",7:49,"Wurttemberg Chamber Orchestra, Jörg Faerber & Gerd Starke",Classical,none
8,"Concerto for 2 Oboes and 2 Clarinets In C Major, RV 560: I. Larghetto - Allegro",4:33,"Gli Academici di Milano, Piero Santi, Alberto Caroldi, Alberto Alverosi, Esio Schiani & Alfio Gerbi",Classical,none
9,Concerto for Harp and Orchestra In C Major: II. Largo,10:41,"Paris Chamber Orchestra, Paul Kuentz & Marie-Claire Jamet",Classical,none
10,The Damnation of Faust: Hungarian March (Rákóczy March),4:31,Cincinnati Pops Orchestra & Erich Kunzel,Classical,none
11,"Daphnis Et Chloé, Suite No. 2: III. Danse Générale",4:32,Minnesota Orchestra & Stanislaw Skrowaczewski,Classical,none
12,Der Freischütz: Overture,9:25,Philharmonia Hungarica & Arthur Grüber,Classical,none
13,Der Rosenkavalier: Waltz,3:21,Orchestra of Radio Luxemburg & Louis de Froment,Classical,none
14,Die Meistersinger Von Nürnberg: Prelude to Act III,6:49,Saxon State Orchestra & Rudolf Kempe,Classical,none
15,"Egyptian March, Op. 335",4:04,Innsbruck Symphony Orchestra & Eduard Strauss,Classical,"2-30 Egyptian March, Op. 335.wav"
16,El Amor Brujo: Ritual Fire Dance,3:42,Vienna Philharmonic & Edouard Van Remoortel,Classical,none
17,España,6:38,Cincinnati Pops Orchestra & Erich Kunzel,Classical,2-38 España.wav
18,"Estudiantina Waltz, Op. 191",5:12,Cincinnati Pops Orchestra & Erich Kunzel,Classical,"2-35 Estudiantina Waltz, Op. 191.wav"
19,Fantasy for 5 Viols In D Minor,3:16,English Consort of Viols,Classical,2-13 Fantasy for 5 Viols In D Minor.wav
20,"Finlandia, Op .26",7:31,Cincinnati Pops Orchestra & Erich Kunzel,Classical,"2-04 Finlandia, Op .26.wav"
21,Hungarian Rhapsody No. 2,9:46,Cincinnati Pops Orchestra & Erich Kunzel,Classical,1-32 Hungarian Rhapsody No. 2.wav
22,Idyll for String Orchestra: V. Adagio,3:15,Southwest German Chamber Orchestra & Paul Angerer,Classical,none
23,"Impromptus, Op. 90, No. 4 In a Flat Major (Allegretto)",7:08,Alfred Brendel,Classical,none
24,In Nomine for 5 Viols In D Minor,3:32,English Consort of Viols,Classical,none
25,"Judas Maccabaeus: See, the Conquering Hero Comes",5:40,"Vienna State Opera Orchestra, Vienna Academy Chorus & Thomas Scherman",Classical,none
26,"Kinderszenen (Scenes from Childhood), Op. 15: VII. Träumerei",3:00,Leonard Hokanson,Classical,none
27,La Gioconda: Dance of the Hours,8:46,Cincinnati Pops Orchestra & Erich Kunzel,Classical,none
28,Liebesfreud,3:50,Aaron Rosand & Eileen Flissler,Classical,2-49 Liebesfreud.wav
29,"Lyric Suite, Op. 54: III. Notturno",4:09,Utah Symphony Orchestra & Maurice Abravanel,Classical,none
30,Magnificat,2:29,Montreal Bach Choir Society & George Little,Classical,2-07 Magnificat.wav
31,"Marche Slave In B Flat Major, Op. 31",8:44,Cincinnati Pops Orchestra & Erich Kunzel,Classical,none
32,Music for the Funeral of Queen Mary: Funeral March,1:36,Philip Jones Brass Ensemble,Classical,none
33,Oboe Concerto In D Minor: II. Adagio,3:41,"Southwest German Chamber Orchestra, Paul Angerer & Helmut Hucke",Classical,none
34,"Piano Sonata No. 2 In B Flat Minor, Op. 35: III. Marche Funèbre - Lento",9:05,Abbey Simon,Classical,none
35,Pictures At an Exhibition (Arr. for Orchestra): XV. the Great Gate of Kiev,5:24,Saint Louis Symphony Orchestra & Leonard Slatkin,Classical,none
36,Prelude a L'apres-Midi D'un Faune (Prelude to the Afternoon of a Faune),9:29,Orchestra of Radio Luxemburg & Louis de Froment,Classical,none
37,Requiem: Pie Jesu,3:05,"Orchestre des Concerts Colonne, Louis Martini & Jocelyne Chamonin",Classical,none
38,Rhapsody On a Theme By Paganini: Variation No.18,2:52,"Saint Louis Symphony Orchestra, Leonard Slatkin & Abbey Simon",Classical,none
39,"Romeo and Juliet, Suite No. 2 from the Ballet, Op. 64b: I. Montagues & Capulets",5:22,Minnesota Orchestra & Stanislaw Skrowaczewski,Classical,none
40,"Slavonic Dances, Op. 46, No.8 In G Major",3:43,Bamberg Symphony Orchestra & Antal Doráti,Classical,none
41,"The Snow Maiden (""Snegurochka""): Dance of the Tumblers",3:42,Cincinnati Pops Orchestra & Erich Kunzel,Classical,none
42,"Solomon, HWV 67 (arr. for Organ and 2 Flutes): The Arrival of the Queen of Sheba",3:13,"Mary Jane Newman, Anna Briggs & Sato Moughalian",Classical,none
43,The Sorcerer's Apprentice,11:33,Vienna Philharmonic & Edouard Van Remoortel,Classical,2-46 The Sorcerer's Apprentice.wav
44,Sylvia: Procession of Bacchus,5:56,Cincinnati Pops Orchestra & Erich Kunzel,Classical,none
45,"Symphonie Espagnole In D Minor for Violin and Orchestra, Op. 21: V. Rondo",8:04,"Baden-Baden Radio Symphony Orchestra, Tibor Szóke & Aaron Rosand",Classical,none
46,Symphonies de Fanfares: Rondeau,1:51,"The New York Trumpet Ensemble, Edward Carroll & Edward Brewer",Classical,none
47,Symphony No. 5 In C Sharp Minor: IV. Adagietto (sehr Langsam),12:04,London Symphony Orchestra & Harold Farberman,Classical,none
48,"Symphony No. 94 In G Major, Hob. I:94 ""Surprise"": II. Andante (Excerpt)",3:04,North German Radio Orchestra & Leopold Ludwig,Classical,none
49,3 Gymnopédies: Gymnopedie No.3 - Lent Et Grave,2:17,Frank Glazer,Classical,none
50,Antidote,4:23,Travis Scott,Hip Hop/Rap,09 Antidote.wav
51,Backseat Freestyle,3:33,Kendrick Lamar,Hip Hop/Rap,03 Backseat Freestyle.wav
52,Bad And Boujee (Ft. Lil Uzi Vert),5:34,Migos,Hip Hop/Rap,Bad And Boujee (Ft. Lil Uzi Vert).wav
53,Blkjuptr [Prod. By Monte Booker],3:14,Smino,Hip Hop/Rap,01 Blkjuptr [Prod. By Monte Booker].wav
54,C.R.E.A.M.,4:12,Wu-Tang Clan,Hip Hop/Rap,C.R.E.A.M..wav
55,Can't Go Wrong,3:05,Wiley,Hip Hop/Rap,08 Can't Go Wrong.wav
56,Check the Rhime,3:40,A Tribe Called Quest,Hip Hop/Rap,01 Check the Rhime.wav
57,Chrome (Like Ooh),3:28,Rapsody,Hip Hop/Rap,03 Chrome (Like Ooh).wav
58,Cilvia Demo,3:03,Isaiah Rashad,Hip Hop/Rap,03 Cilvia Demo.wav
59,Crew (CDQ),2:57,GoldLink Ft. Brent Faiyaz & Shy Glizzy,Hip Hop/Rap,Crew (CDQ).wav
60,Dirt Off Your Shoulder,4:05,Jay-Z,Hip Hop/Rap,06 Dirt Off Your Shoulder.wav
61,Doomsday,4:58,MF Doom,Hip Hop/Rap,02 Doomsday.wav
62,Energy,3:02,Drake,Hip Hop/Rap,02 Energy.wav
63,First Day Out,4:15,Tee Grizzley,Hip Hop/Rap,02 First Day Out.wav
64,The Food (Feat. Kanye West) (Studio Version),4:20,Common,Hip Hop/Rap,none
65,For My People,3:53,Joey Bada$$,Hip Hop/Rap,02 For My People.wav
66,Forbidden Fruit (feat. Kendrick Lamar),4:29,J Cole,Hip Hop/Rap,none
67,FUN!,2:51,Vince Staples,Hip Hop/Rap,07 FUN!.wav
68,Get By,3:47,Talib Kweli,Hip Hop/Rap,03 Get By.wav
69,Get Dis Money,3:31,Slum Village,Hip Hop/Rap,11 Get Dis Money.wav
70,Gettin Throwed Ft. Towkio & Joey Purp,3:37,TWO FRESH.,Hip Hop/Rap,none
71,Gin And Juice [Explicit],3:31,Snoop Doggy Dogg,Hip Hop/Rap,1-03 Gin And Juice [Explicit].wav
72,I Gotta Stay Fly,3:57,Three 6 Mafia,Hip Hop/Rap,I Gotta Stay Fly.wav
73,I Wish,4:09,Skee-Lo,Hip Hop/Rap,02 I Wish.wav
74,Intergalactic,3:30,Beastie Boys,Hip Hop/Rap,10 Intergalactic.wav
75,It Was a Good Day,4:20,Ice Cube,Hip Hop/Rap,10 It Was a Good Day.wav
76,Jumpman,3:26,Drake & Future,Hip Hop/Rap,09 Jumpman.wav
77,"Kick, Push",4:16,Lupe Fiasco,Hip Hop/Rap,"04 Kick, Push.wav"
78,Like Woah,3:53,Logic,Hip Hop/Rap,05 Like Woah.wav
79,Look Alive,3:01,BlocBoy JB Ft Drake,Hip Hop/Rap,Look Alive.wav
80,Lose Yourself,5:20,Eminem,Hip Hop/Rap,01 Lose Yourself.wav
81,Loyalty (feat. Lil Wayne & Tyga),3:58,Birdman,Hip Hop/Rap,01 Loyalty (feat. Lil Wayne & Tyga).wav
82,A Milli,3:42,Lil Wayne,Hip Hop/Rap,03 A Milli.wav
83,Much More,4:05,De La Soul & Yummy,Hip Hop/Rap,03 Much More.wav
84,Numbers On the Boards,2:43,Pusha T,Hip Hop/Rap,01 Numbers On the Boards.wav
85,Rack City,3:29,Tyga,Hip Hop/Rap,01 Rack City.wav
86,Renaissance (feat. Lex Allen & D. Bridge)prod. by Mic Kellogg,3:19,WebsterX,Hip Hop/Rap,none
87,Seen It All (feat. JAY Z),3:28,Jeezy,Hip Hop/Rap,10 Seen It All (feat. JAY Z).wav
88,"Shook Ones, Pt. II",5:26,Mobb Deep,Hip Hop/Rap,"15 Shook Ones, Pt. II.wav"
89,Skills Up,4:00,The Lower Class,Hip Hop/Rap,Skills Up.wav
90,Slump,5:09,Outkast,Hip Hop/Rap,07 Slump.wav
91,Sweatpants,3:01,Childish Gambino,Hip Hop/Rap,08 Sweatpants.wav
92,THat Part (feat. Kanye West),5:14,ScHoolboy Q,Hip Hop/Rap,1-03 THat Part (feat. Kanye West).wav
93,This Plane,3:16,Wiz Khalifa,Hip Hop/Rap,13 This Plane.wav
94,Throw Some D's (feat. Polow Da Don),4:24,Rich Boy,Hip Hop/Rap,none
95,Touch the Sky (Featuring Lupe Fiasco),3:57,Kanye West,Hip Hop/Rap,none
96,Truffle Butter [feat. Drake] [Explicit],3:39,Nicki Minaj,Hip Hop/Rap,none
97,Watch Out,3:28,2 Chainz,Hip Hop/Rap,01 Watch Out.wav
98,Where The Hood At?,4:52,DMX,Hip Hop/Rap,none
99,Window Shopper,3:10,50 Cent,Hip Hop/Rap,11 Window Shopper.wav
100,Afro Blues,7:24,Takuya Kuroda,Jazz,02 Afro Blues.wav
