Adagio In G Minor,6:44,"Wurttemberg Chamber Orchestra, Gunter Kehr & Douglas Haas",Classical
"Ah, Silly Soul",3:19,English Consort of Viols & James Bowman,Classical
"Bagatelle for Piano In A Minor ""Fur Elise"", WoO 59",2:46,Leonard Hokanson,Classical
"Brandenburg Concerto No. 3 In G Major, BWV 1048: I. Allegro",6:40,"Wurttemberg Chamber Orchestra, Jörg Faerber & Martin Galling",Classical
Canon In D Major,5:52,Mainz Chamber Orchestra & Gunter Kehr,Classical
Carmen Suite No. 1: Les Toreadors,2:23,Bamberg Symphony Orchestra & Marcel Courand,Classical
Carnival of the Animals: XIII. the Swan,3:08,"Wurttemberg Chamber Orchestra, Jörg Faerber, Marylène Dosse & Anne Petit",Classical
"Clarinet Concerto In a Major, K. 622: II. Adagio",7:49,"Wurttemberg Chamber Orchestra, Jörg Faerber & Gerd Starke",Classical
"Concerto for 2 Oboes and 2 Clarinets In C Major, RV 560: I. Larghetto - Allegro",4:33,"Gli Academici di Milano, Piero Santi, Alberto Caroldi, Alberto Alverosi, Esio Schiani & Alfio Gerbi",Classical
Concerto for Harp and Orchestra In C Major: II. Largo,10:41,"Paris Chamber Orchestra, Paul Kuentz & Marie-Claire Jamet",Classical
The Damnation of Faust: Hungarian March (Rákóczy March),4:31,Cincinnati Pops Orchestra & Erich Kunzel,Classical
"Daphnis Et Chloé, Suite No. 2: III. Danse Générale",4:32,Minnesota Orchestra & Stanislaw Skrowaczewski,Classical
Der Freischütz: Overture,9:25,Philharmonia Hungarica & Arthur Grüber,Classical
Der Rosenkavalier: Waltz,3:21,Orchestra of Radio Luxemburg & Louis de Froment,Classical
Die Meistersinger Von Nürnberg: Prelude to Act III,6:49,Saxon State Orchestra & Rudolf Kempe,Classical
"Egyptian March, Op. 335",4:04,Innsbruck Symphony Orchestra & Eduard Strauss,Classical
El Amor Brujo: Ritual Fire Dance,3:42,Vienna Philharmonic & Edouard Van Remoortel,Classical
España,6:38,Cincinnati Pops Orchestra & Erich Kunzel,Classical
"Estudiantina Waltz, Op. 191",5:12,Cincinnati Pops Orchestra & Erich Kunzel,Classical
Fantasy for 5 Viols In D Minor,3:16,English Consort of Viols,Classical
"Finlandia, Op .26",7:31,Cincinnati Pops Orchestra & Erich Kunzel,Classical
Hungarian Rhapsody No. 2,9:46,Cincinnati Pops Orchestra & Erich Kunzel,Classical
Idyll for String Orchestra: V. Adagio,3:15,Southwest German Chamber Orchestra & Paul Angerer,Classical
"Impromptus, Op. 90, No. 4 In a Flat Major (Allegretto)",7:08,Alfred Brendel,Classical
In Nomine for 5 Viols In D Minor,3:32,English Consort of Viols,Classical
"Judas Maccabaeus: See, the Conquering Hero Comes",5:40,"Vienna State Opera Orchestra, Vienna Academy Chorus & Thomas Scherman",Classical
"Kinderszenen (Scenes from Childhood), Op. 15: VII. Träumerei",3:00,Leonard Hokanson,Classical
La Gioconda: Dance of the Hours,8:46,Cincinnati Pops Orchestra & Erich Kunzel,Classical
Liebesfreud,3:50,Aaron Rosand & Eileen Flissler,Classical
"Lyric Suite, Op. 54: III. Notturno",4:09,Utah Symphony Orchestra & Maurice Abravanel,Classical
Magnificat,2:29,Montreal Bach Choir Society & George Little,Classical
"Marche Slave In B Flat Major, Op. 31",8:44,Cincinnati Pops Orchestra & Erich Kunzel,Classical
Music for the Funeral of Queen Mary: Funeral March,1:36,Philip Jones Brass Ensemble,Classical
Oboe Concerto In D Minor: II. Adagio,3:41,"Southwest German Chamber Orchestra, Paul Angerer & Helmut Hucke",Classical
"Piano Sonata No. 2 In B Flat Minor, Op. 35: III. Marche Funèbre - Lento",9:05,Abbey Simon,Classical
Pictures At an Exhibition (Arr. for Orchestra): XV. the Great Gate of Kiev,5:24,Saint Louis Symphony Orchestra & Leonard Slatkin,Classical
Prelude a L'apres-Midi D'un Faune (Prelude to the Afternoon of a Faune),9:29,Orchestra of Radio Luxemburg & Louis de Froment,Classical
Requiem: Pie Jesu,3:05,"Orchestre des Concerts Colonne, Louis Martini & Jocelyne Chamonin",Classical
Rhapsody On a Theme By Paganini: Variation No.18,2:52,"Saint Louis Symphony Orchestra, Leonard Slatkin & Abbey Simon",Classical
"Romeo and Juliet, Suite No. 2 from the Ballet, Op. 64b: I. Montagues & Capulets",5:22,Minnesota Orchestra & Stanislaw Skrowaczewski,Classical
"Slavonic Dances, Op. 46, No.8 In G Major",3:43,Bamberg Symphony Orchestra & Antal Doráti,Classical
"The Snow Maiden (""Snegurochka""): Dance of the Tumblers",3:42,Cincinnati Pops Orchestra & Erich Kunzel,Classical
"Solomon, HWV 67 (arr. for Organ and 2 Flutes): The Arrival of the Queen of Sheba",3:13,"Mary Jane Newman, Anna Briggs & Sato Moughalian",Classical
The Sorcerer's Apprentice,11:33,Vienna Philharmonic & Edouard Van Remoortel,Classical
Sylvia: Procession of Bacchus,5:56,Cincinnati Pops Orchestra & Erich Kunzel,Classical
"Symphonie Espagnole In D Minor for Violin and Orchestra, Op. 21: V. Rondo",8:04,"Baden-Baden Radio Symphony Orchestra, Tibor Szóke & Aaron Rosand",Classical
Symphonies de Fanfares: Rondeau,1:51,"The New York Trumpet Ensemble, Edward Carroll & Edward Brewer",Classical
Symphony No. 5 In C Sharp Minor: IV. Adagietto (sehr Langsam),12:04,London Symphony Orchestra & Harold Farberman,Classical
"Symphony No. 94 In G Major, Hob. I:94 ""Surprise"": II. Andante (Excerpt)",3:04,North German Radio Orchestra & Leopold Ludwig,Classical
3 Gymnopédies: Gymnopedie No.3 - Lent Et Grave,2:17,Frank Glazer,Classical
Antidote,4:23,Travis Scott,Hip Hop/Rap
Backseat Freestyle,3:33,Kendrick Lamar,Hip Hop/Rap
Bad And Boujee (Ft. Lil Uzi Vert),5:34,Migos,Hip Hop/Rap
Blkjuptr [Prod. By Monte Booker],3:14,Smino,Hip Hop/Rap
C.R.E.A.M.,4:12,Wu-Tang Clan,Hip Hop/Rap
Can't Go Wrong,3:05,Wiley,Hip Hop/Rap
Check the Rhime,3:40,A Tribe Called Quest,Hip Hop/Rap
Chrome (Like Ooh),3:28,Rapsody,Hip Hop/Rap
