,song,genre,duration,tempo,tempo_changes,tempo_confidence,sub_strength,bass_strength,lomid_strength,mid_strength,himid_strength,pres_strength,brill_strength,mean_RMS,std_RMS,spectral_centroid,spectral_bandwidth,band 0_contrast,band 1_contrast,band 2_contrast,band 3_contrast,mean_flatness,peak_flatness,rolloff(0.5),tuning
0,2-18 Adagio In G Minor.wav,classical,403.56,123.046875,0.8400460299194477,0.4377445339470656,-69.93775177001953,-46.46623992919922,-46.36203384399414,-59.90202713012695,-66.95272827148438,-73.09331512451172,-78.26554870605469,0.046039242297410965,0.02494514361023903,1229.3541541722814,1369.2161699229298,28.187134382676103,21.64655184520976,25.890672566789757,48.48106803704584,0.011588577181100845,0.01037952583283186,749.916100189244,0.14
1,"1-22 Symphony No. 94 In G Major, Hob.wav",classical,183.80512471655328,112.34714673913044,0.631632137443153,0.4499747347145023,-56.92328643798828,-45.88745880126953,-45.84320068359375,-55.35963821411133,-61.40384292602539,-68.16378784179688,-75.8918228149414,0.02254333905875683,0.02348850667476654,1636.9665767534732,1768.9988186775327,23.41240898208062,18.339225701974954,22.74877308452677,44.08007143397352,0.006729378364980221,0.05855613201856613,1026.5864822827186,0.43000000000000005
2,2-47 3 Gymnopédies_ Gymnopedie No.3.wav,classical,136.94222222222223,95.703125,1.1698880976602237,0.17514411664971177,-48.28483581542969,-35.85343933105469,-40.22624206542969,-65.6402587890625,-78.79096984863281,-79.91134643554688,-79.98966979980469,0.042877525091171265,0.02533501200377941,458.53228484981724,813.8009458689613,26.59639198566297,18.7810458329284,24.571071749358687,42.21872547557559,0.011040737852454185,0.0002704689104575664,288.3945034333672,0.040000000000000036
3,1-48 Symphony No. 5 In C Sharp Minor.wav,classical,724.2121541950113,123.046875,0.6700865662071177,0.5152292401410709,-41.22982406616211,-48.095157623291016,-49.47910690307617,-60.458160400390625,-65.08671569824219,-72.12100982666016,-77.42733764648438,0.011033862829208374,0.010037838481366634,1456.7668306750866,1750.4240096932085,17.313058415852794,19.63996977651128,24.05959596975594,42.004957231514304,0.002411151770502329,0.02678755111992359,777.9385693969922,0.050000000000000044
4,2-21 Symphonies de Fanfares_ Rondeau.wav,classical,110.66630385487528,161.4990234375,0.5244388504300398,0.6784140969162996,-54.41790008544922,-39.528472900390625,-38.383758544921875,-42.1021614074707,-50.61245346069336,-57.90304183959961,-66.30885314941406,0.0358143076300621,0.01912917196750641,2234.1558233611922,2030.1820878153458,20.525741246415425,17.798759576481206,19.99735377598694,44.73360880576273,0.012057271786034107,0.08175311982631683,1601.0774452780836,0.06000000000000005
5,2-28 Symphonie Espagnole In D Minor.wav,classical,484.12444444444446,112.34714673913044,0.8393285371702638,0.33127098321342924,-64.18807220458984,-47.33542251586914,-43.88850021362305,-52.73133087158203,-62.2747688293457,-70.26697540283203,-74.30857849121094,0.04091593250632286,0.03137636557221413,1746.4117330260522,1896.4700359931267,23.537399395059776,17.524957341122352,21.115912118820763,43.31578894863995,0.0035711966920644045,0.0673418715596199,1044.3076804181655,0.14
6,2-34 Sylvia_ Procession of Bacchus.wav,classical,355.7703401360544,117.45383522727273,0.6722360005221251,0.37984597311055995,-48.33399200439453,-37.6579704284668,-38.8637809753418,-46.931846618652344,-53.5204963684082,-61.52291488647461,-70.12862396240234,0.06382647156715393,0.04467201977968216,1823.8417859561353,1894.7978003023786,21.101600131970116,15.079931700920955,19.41441243937385,42.88585709796439,0.011397240683436394,0.15577682852745056,1155.2882497389376,0.16000000000000003
7,2-46 The Sorcerer's Apprentice.wav,classical,692.5119274376417,117.45383522727273,0.6940486169321038,0.24087175188600168,-61.627471923828125,-49.71708679199219,-47.31482696533203,-56.78411865234375,-63.08967590332031,-67.46517944335938,-73.0727767944336,0.028490867465734482,0.028796182945370674,2045.8704985223062,2154.334100957412,20.436364116915357,15.24871349126467,20.102135491259272,40.41136681323574,0.01069624349474907,0.13899365067481995,1247.6543656354777,0.07000000000000006
8,"1-12 Solomon, HWV 67 (arr. for Organ.wav",classical,193.48027210884354,117.45383522727273,0.5280211208448338,0.5574222968918757,-40.53841781616211,-37.20057678222656,-38.81608581542969,-50.26788330078125,-61.04845428466797,-70.64784240722656,-77.49128723144531,0.029685264453291893,0.011642467230558395,1244.0838310145093,1435.2157325472801,18.858562165473668,17.46083160119961,24.786223058730826,47.49738272692666,0.0024496084079146385,0.005327439401298761,693.9050804219669,-0.08000000000000002
9,"2-02 Slavonic Dances, Op. 46, No.8 I.wav",classical,222.58648526077098,107.666015625,0.761447793887556,0.42453322207155525,-43.685604095458984,-35.2564811706543,-35.97946548461914,-46.798553466796875,-57.220909118652344,-64.75141906738281,-70.24331665039062,0.060413658618927,0.048008084297180176,1586.0138943024847,1838.0743892332102,18.81623354551786,14.03846511593893,18.21616705197022,43.27345640937121,0.013187876902520657,0.17266146838665009,916.5795345829639,0.26
